"Tabela de bandeiras das Operadoras de cartão 
de crédito e/ou débito",,,
tBand,Operadora,dIniVig ,dFimVig
01,Visa,2020-01-01 00:00:00,
02,Mastercard,2020-01-01 00:00:00,
03,American Express,2020-01-01 00:00:00,
04,Sorocred,2020-01-01 00:00:00,
05,Diners Club,2020-01-01 00:00:00,
06,Elo,2020-01-01 00:00:00,
07,Hipercard,2020-01-01 00:00:00,
08,Aura,2020-01-01 00:00:00,
09,Cabal,2020-01-01 00:00:00,
10,Alelo,2020-01-01 00:00:00,
11,Banes Card,2020-01-01 00:00:00,
12,CalCard ,2020-01-01 00:00:00,
13,Credz,2020-01-01 00:00:00,
14,Discover,2020-01-01 00:00:00,
15,GoodCard,2020-01-01 00:00:00,
16,GreenCard,2020-01-01 00:00:00,
17,Hiper,2020-01-01 00:00:00,
18,JcB,2020-01-01 00:00:00,
19,Mais,2020-01-01 00:00:00,
20,MaxVan,2020-01-01 00:00:00,
21,Policard,2020-01-01 00:00:00,
22,RedeCompras,2020-01-01 00:00:00,
23,Sodexo,2020-01-01 00:00:00,
24,ValeCard,2020-01-01 00:00:00,
25,Verocheque,2020-01-01 00:00:00,
26,VR,2020-01-01 00:00:00,
27,Ticket,2020-01-01 00:00:00,
99,Outros,2020-01-01 00:00:00,
,,,
,,,
