cProdANP,Descrição,adRemICMS,Início da vigência,Fim da vigência
210203001,GLP,1.2571,45047,45322
210203001,GLP,1.4139,45323,45688
210203001,GLP,1.39,45689,46022
210203001,GLP,1.47,46023,
210203003,PROPANO COMERCIAL,1.2571,45047,45322
210203003,PROPANO COMERCIAL,1.4139,45323,45688
210203003,PROPANO COMERCIAL,1.39,45689,46022
210203003,PROPANO COMERCIAL,1.47,46023,
210203004,PROPANO ESPECIAL,1.2571,45047,45322
210203004,PROPANO ESPECIAL,1.4139,45323,45688
210203004,PROPANO ESPECIAL,1.39,45689,46022
210203004,PROPANO ESPECIAL,1.47,46023,
210203005,BUTANO COMERCIAL,1.2571,45047,45322
210203005,BUTANO COMERCIAL,1.4139,45323,45688
210203005,BUTANO COMERCIAL,1.39,45689,46022
210203005,BUTANO COMERCIAL,1.47,46023,
320101001,GASOLINA A COMUM,1.22,45078,45322
320101001,GASOLINA A COMUM,1.3721,45323,45688
320101001,GASOLINA A COMUM,1.47,45689,46022
320101001,GASOLINA A COMUM,1.57,46023,
320101002,GASOLINA A PREMIUM,1.22,45078,45322
320101002,GASOLINA A PREMIUM,1.3721,45323,45688
320101002,GASOLINA A PREMIUM,1.47,45689,46022
320101002,GASOLINA A PREMIUM,1.57,46023,
320102001,GASOLINA C COMUM,1.22,45078,45322
320102001,GASOLINA C COMUM,1.3721,45323,45688
320102001,GASOLINA C COMUM,1.47,45689,46022
320102001,GASOLINA C COMUM,1.57,46023,
320102002,GASOLINA C COMUM ADITIVADA,1.22,45078,45322
320102002,GASOLINA C COMUM ADITIVADA,1.3721,45323,45688
320102002,GASOLINA C COMUM ADITIVADA,1.47,45689,46022
320102002,GASOLINA C COMUM ADITIVADA,1.57,46023,
320102003,GASOLINA C PREMIUM,1.22,45078,45322
320102003,GASOLINA C PREMIUM,1.3721,45323,45688
320102003,GASOLINA C PREMIUM,1.47,45689,46022
320102003,GASOLINA C PREMIUM,1.57,46023,
320102005,GASOLINA C PREMIUM ADITIVADA,1.22,45078,45322
320102005,GASOLINA C PREMIUM ADITIVADA,1.3721,45323,45688
320102005,GASOLINA C PREMIUM ADITIVADA,1.47,45689,46022
320102005,GASOLINA C PREMIUM ADITIVADA,1.57,46023,
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,1.22,45078,45322
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,1.3721,45323,45688
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,1.47,45689,46022
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,1.57,46023,
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,1.22,45078,45322
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,1.3721,45323,45688
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,1.47,45689,46022
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,1.57,46023,
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,1.22,45078,45322
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,1.3721,45323,45688
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,1.47,45689,46022
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,1.57,46023,
320201001,GASOLINA DE AVIAÇÃO,1.22,45078,45322
320201001,GASOLINA DE AVIAÇÃO,1.3721,45323,45688
320201001,GASOLINA DE AVIAÇÃO,1.47,45689,46022
320201001,GASOLINA DE AVIAÇÃO,1.57,46023,
320301001,OUTRAS GASOLINAS,1.22,45078,45322
320301001,OUTRAS GASOLINAS,1.3721,45323,45688
320301001,OUTRAS GASOLINAS,1.47,45689,46022
320301001,OUTRAS GASOLINAS,1.57,46023,
320301002,GASOLINA PARA EXPORTAÇÃO,1.22,45078,45322
320301002,GASOLINA PARA EXPORTAÇÃO,1.3721,45323,45688
320301002,GASOLINA PARA EXPORTAÇÃO,1.47,45689,46022
320301002,GASOLINA PARA EXPORTAÇÃO,1.57,46023,
420101004,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO,1.0635,45420,45688
420101004,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO,1.12,45689,46022
420101004,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO,1.17,46023,
420101005,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO - ADITIVADO,1.0635,45420,45688
420101005,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO - ADITIVADO,1.12,45689,46022
420101005,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO - ADITIVADO,1.17,46023,
420102004,ÓLEO DIESEL A S500,0.9456,45047,45322
420102004,ÓLEO DIESEL A S500,1.0635,45323,45688
420102004,ÓLEO DIESEL A S500,1.12,45689,46022
420102004,ÓLEO DIESEL A S500,1.17,46023,
420102005,ÓLEO DIESEL A S500 - ADITIVADO,0.9456,45047,45322
420102005,ÓLEO DIESEL A S500 - ADITIVADO,1.0635,45323,45688
420102005,ÓLEO DIESEL A S500 - ADITIVADO,1.12,45689,46022
420102005,ÓLEO DIESEL A S500 - ADITIVADO,1.17,46023,
420105001,ÓLEO DIESEL A S10,0.9456,45047,45322
420105001,ÓLEO DIESEL A S10,1.0635,45323,45688
420105001,ÓLEO DIESEL A S10,1.12,45689,46022
420105001,ÓLEO DIESEL A S10,1.17,46023,
420107001,ÓLEO DIESEL C S10,1.0635,45629,45688
420107001,ÓLEO DIESEL C S10,1.12,45689,46022
420107001,ÓLEO DIESEL C S10,1.17,46023,
420201001,ÓLEO DIESEL MARÍTIMO (DMA-MGO),0.9456,45047,45322
420201001,ÓLEO DIESEL MARÍTIMO (DMA-MGO),1.0635,45323,45688
420201001,ÓLEO DIESEL MARÍTIMO (DMA-MGO),1.12,45689,46022
420201001,ÓLEO DIESEL MARÍTIMO (DMA-MGO),1.17,46023,
420201003,ÓLEO DIESEL MARÍTIMO (DMA-MDO),0.9456,45047,45322
420201003,ÓLEO DIESEL MARÍTIMO (DMA-MDO),1.0635,45323,45688
420201003,ÓLEO DIESEL MARÍTIMO (DMA-MDO),1.12,45689,46022
420201003,ÓLEO DIESEL MARÍTIMO (DMA-MDO),1.17,46023,
420301002,OUTROS ÓLEOS DIESEL (Sem Adição de B100),0.9456,45047,45322
420301002,OUTROS ÓLEOS DIESEL (Sem Adição de B100),1.0635,45323,45688
420301002,OUTROS ÓLEOS DIESEL (Sem Adição de B100),1.12,45689,46022
420301002,OUTROS ÓLEOS DIESEL (Sem Adição de B100),1.17,46023,
810102001,ETANOL ANIDRO,1.22,45078,45322
810102001,ETANOL ANIDRO,1.3721,45323,45688
810102001,ETANOL ANIDRO,1.47,45689,46022
810102001,ETANOL ANIDRO,1.57,46023,
810102003,ETANOL ANIDRO DE REFERÊNCIA - EAR,1.22,45078,45322
810102003,ETANOL ANIDRO DE REFERÊNCIA - EAR,1.3721,45323,45688
810102003,ETANOL ANIDRO DE REFERÊNCIA - EAR,1.47,45689,46022
810102003,ETANOL ANIDRO DE REFERÊNCIA - EAR,1.57,46023,
810102004,ETANOL ANIDRO COM CORANTE,1.22,45078,45322
810102004,ETANOL ANIDRO COM CORANTE,1.3721,45323,45688
810102004,ETANOL ANIDRO COM CORANTE,1.47,45689,46022
810102004,ETANOL ANIDRO COM CORANTE,1.57,46023,
820101001,BIODIESEL B100,0.9456,45047,45322
820101001,BIODIESEL B100,1.0635,45323,45688
820101001,BIODIESEL B100,1.12,45689,46022
820101001,BIODIESEL B100,1.17,46023,
820101003,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - COMUM,1.0635,45420,45688
820101003,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - COMUM,1.12,45689,46022
820101003,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - COMUM,1.17,46023,
820101011,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - ADITIVADO,1.0635,45420,45688
820101011,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - ADITIVADO,1.12,45689,46022
820101011,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - ADITIVADO,1.17,46023,
820101012,ÓLEO DIESEL B S500 - COMUM,0.9456,45047,45322
820101012,ÓLEO DIESEL B S500 - COMUM,1.0635,45323,45688
820101012,ÓLEO DIESEL B S500 - COMUM,1.12,45689,46022
820101012,ÓLEO DIESEL B S500 - COMUM,1.17,46023,
820101013,ÓLEO DIESEL B S500 - ADITIVADO,0.9456,45047,45322
820101013,ÓLEO DIESEL B S500 - ADITIVADO,1.0635,45323,45688
820101013,ÓLEO DIESEL B S500 - ADITIVADO,1.12,45689,46022
820101013,ÓLEO DIESEL B S500 - ADITIVADO,1.17,46023,
820101025,ÓLEO DIESEL S10 B30 AUTORIZATIVO,1.12,45962,46022
820101025,ÓLEO DIESEL S10 B30 AUTORIZATIVO,1.17,46023,
820101026,DIESEL B S1800 NÃO RODOVIÁRIO PARA GERAÇÃO DE ENERGIA ELÉTRICA,0.9456,45047,45322
820101026,DIESEL B S1800 NÃO RODOVIÁRIO PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.0635,45323,45688
820101026,DIESEL B S1800 NÃO RODOVIÁRIO PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.12,45689,46022
820101026,DIESEL B S1800 NÃO RODOVIÁRIO PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.17,46023,
820101027,DIESEL B S500 PARA GERAÇÃO DE ENERGIA ELÉTRICA,0.9456,45047,45322
820101027,DIESEL B S500 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.0635,45323,45688
820101027,DIESEL B S500 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.12,45689,46022
820101027,DIESEL B S500 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.17,46023,
820101030,ÓLEO DIESEL S10 B20 AUTORIZATIVO,1.12,45931,46022
820101030,ÓLEO DIESEL S10 B20 AUTORIZATIVO,1.17,46023,
820101032,DIESEL B S10 PARA GERAÇÃO DE ENERGIA ELÉTRICA,0.9456,45047,45322
820101032,DIESEL B S10 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.0635,45323,45688
820101032,DIESEL B S10 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.12,45689,46022
820101032,DIESEL B S10 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1.17,46023,
820101033,ÓLEO DIESEL B S10 - ADITIVADO,0.9456,45047,45322
820101033,ÓLEO DIESEL B S10 - ADITIVADO,1.0635,45323,45688
820101033,ÓLEO DIESEL B S10 - ADITIVADO,1.12,45689,46022
820101033,ÓLEO DIESEL B S10 - ADITIVADO,1.17,46023,
820101034,ÓLEO DIESEL B S10 - COMUM,0.9456,45047,45322
820101034,ÓLEO DIESEL B S10 - COMUM,1.0635,45323,45688
820101034,ÓLEO DIESEL B S10 - COMUM,1.12,45689,46022
820101034,ÓLEO DIESEL B S10 - COMUM,1.17,46023,
