NCM,Início de vigência da NCM,Fim de vigência da NCM,uTrib para uso em operações de Exportação (Abreviatura),Descrição da uTrib utilizada em operações de Exportação,
01012100,2016-01-01 00:00:00,,UN,Unidade,
01012900,2016-01-01 00:00:00,,UN,Unidade,
01013000,2016-01-01 00:00:00,,UN,Unidade,
01019000,2016-01-01 00:00:00,,UN,Unidade,
01022110,2016-01-01 00:00:00,,UN,Unidade,
01022190,2016-01-01 00:00:00,,UN,Unidade,
01022911,2016-01-01 00:00:00,,UN,Unidade,
01022919,2016-01-01 00:00:00,,UN,Unidade,
01022990,2016-01-01 00:00:00,,UN,Unidade,
01023110,2016-01-01 00:00:00,,UN,Unidade,
01023190,2016-01-01 00:00:00,,UN,Unidade,
01023911,2016-01-01 00:00:00,,UN,Unidade,
01023919,2016-01-01 00:00:00,,UN,Unidade,
01023990,2016-01-01 00:00:00,,UN,Unidade,
01029000,2016-01-01 00:00:00,,UN,Unidade,
01031000,2016-01-01 00:00:00,,UN,Unidade,
01039100,2016-01-01 00:00:00,,UN,Unidade,
01039200,2016-01-01 00:00:00,,UN,Unidade,
01041011,2016-01-01 00:00:00,,UN,Unidade,
01041019,2016-01-01 00:00:00,,UN,Unidade,
01041090,2016-01-01 00:00:00,,UN,Unidade,
01042010,2016-01-01 00:00:00,,UN,Unidade,
01042090,2016-01-01 00:00:00,,UN,Unidade,
01051110,2016-01-01 00:00:00,,UN,Unidade,
01051190,2016-01-01 00:00:00,,UN,Unidade,
01051200,2016-01-01 00:00:00,,UN,Unidade,
01051300,2016-01-01 00:00:00,,UN,Unidade,
01051400,2016-01-01 00:00:00,,UN,Unidade,
01051500,2016-01-01 00:00:00,,UN,Unidade,
01059400,2016-01-01 00:00:00,,UN,Unidade,
01059900,2016-01-01 00:00:00,,UN,Unidade,
01061100,2016-01-01 00:00:00,,UN,Unidade,
01061200,2016-01-01 00:00:00,,UN,Unidade,
01061300,2016-01-01 00:00:00,,UN,Unidade,
01061400,2016-01-01 00:00:00,,UN,Unidade,
01061900,2016-01-01 00:00:00,,UN,Unidade,
01062000,2016-01-01 00:00:00,,UN,Unidade,
01063100,2016-01-01 00:00:00,,UN,Unidade,
01063200,2016-01-01 00:00:00,,UN,Unidade,
01063310,2016-01-01 00:00:00,,UN,Unidade,
01063390,2016-01-01 00:00:00,,UN,Unidade,
01063900,2016-01-01 00:00:00,,UN,Unidade,
01064100,2016-01-01 00:00:00,,KG,Quilograma,
01064900,2016-01-01 00:00:00,,KG,Quilograma,
01069000,2016-01-01 00:00:00,,UN,Unidade,
02011000,2016-01-01 00:00:00,,KG,Quilograma,
02012010,2016-01-01 00:00:00,,KG,Quilograma,
02012020,2016-01-01 00:00:00,,KG,Quilograma,
02012090,2016-01-01 00:00:00,,KG,Quilograma,
02013000,2016-01-01 00:00:00,,KG,Quilograma,
02021000,2016-01-01 00:00:00,,KG,Quilograma,
02022010,2016-01-01 00:00:00,,KG,Quilograma,
02022020,2016-01-01 00:00:00,,KG,Quilograma,
02022090,2016-01-01 00:00:00,,KG,Quilograma,
02023000,2016-01-01 00:00:00,,KG,Quilograma,
02031100,2016-01-01 00:00:00,,KG,Quilograma,
02031200,2016-01-01 00:00:00,,KG,Quilograma,
02031900,2016-01-01 00:00:00,,KG,Quilograma,
02032100,2016-01-01 00:00:00,,KG,Quilograma,
02032200,2016-01-01 00:00:00,,KG,Quilograma,
02032900,2016-01-01 00:00:00,,KG,Quilograma,
02041000,2016-01-01 00:00:00,,KG,Quilograma,
02042100,2016-01-01 00:00:00,,KG,Quilograma,
02042200,2016-01-01 00:00:00,,KG,Quilograma,
02042300,2016-01-01 00:00:00,,KG,Quilograma,
02043000,2016-01-01 00:00:00,,KG,Quilograma,
02044100,2016-01-01 00:00:00,,KG,Quilograma,
02044200,2016-01-01 00:00:00,,KG,Quilograma,
02044300,2016-01-01 00:00:00,,KG,Quilograma,
02045000,2016-01-01 00:00:00,,KG,Quilograma,
02050000,2016-01-01 00:00:00,,KG,Quilograma,
02061000,2016-01-01 00:00:00,,KG,Quilograma,
02062100,2016-01-01 00:00:00,,KG,Quilograma,
02062200,2016-01-01 00:00:00,,KG,Quilograma,
02062910,2016-01-01 00:00:00,,KG,Quilograma,
02062990,2016-01-01 00:00:00,,KG,Quilograma,
02063000,2016-01-01 00:00:00,,KG,Quilograma,
02064100,2016-01-01 00:00:00,,KG,Quilograma,
02064900,2016-01-01 00:00:00,,KG,Quilograma,
02068000,2016-01-01 00:00:00,,KG,Quilograma,
02069000,2016-01-01 00:00:00,,KG,Quilograma,
02071100,2016-01-01 00:00:00,,KG,Quilograma,
02071210,2023-04-01 00:00:00,,KG,Quilograma,
02071220,2023-04-01 00:00:00,,KG,Quilograma,
02071300,2016-01-01 00:00:00,,KG,Quilograma,
02071411,2024-08-01 00:00:00,,KG,Quilograma,
02071412,2024-08-01 00:00:00,,KG,Quilograma,
02071413,2024-08-01 00:00:00,,KG,Quilograma,
02071419,2024-08-01 00:00:00,,KG,Quilograma,
02071421,2024-08-01 00:00:00,,KG,Quilograma,
02071422,2024-08-01 00:00:00,,KG,Quilograma,
02071423,2024-08-01 00:00:00,,KG,Quilograma,
02071424,2024-08-01 00:00:00,,KG,Quilograma,
02071429,2024-08-01 00:00:00,,KG,Quilograma,
02071431,2024-08-01 00:00:00,,KG,Quilograma,
02071432,2024-08-01 00:00:00,,KG,Quilograma,
02071433,2024-08-01 00:00:00,,KG,Quilograma,
02071434,2024-08-01 00:00:00,,KG,Quilograma,
02071439,2024-08-01 00:00:00,,KG,Quilograma,
02072400,2016-01-01 00:00:00,,KG,Quilograma,
02072500,2016-01-01 00:00:00,,KG,Quilograma,
02072600,2016-01-01 00:00:00,,KG,Quilograma,
02072700,2016-01-01 00:00:00,,KG,Quilograma,
02074100,2016-01-01 00:00:00,,KG,Quilograma,
02074200,2016-01-01 00:00:00,,KG,Quilograma,
02074300,2016-01-01 00:00:00,,KG,Quilograma,
02074400,2016-01-01 00:00:00,,KG,Quilograma,
02074500,2016-01-01 00:00:00,,KG,Quilograma,
02075100,2016-01-01 00:00:00,,KG,Quilograma,
02075200,2016-01-01 00:00:00,,KG,Quilograma,
02075300,2016-01-01 00:00:00,,KG,Quilograma,
02075400,2016-01-01 00:00:00,,KG,Quilograma,
02075500,2016-01-01 00:00:00,,KG,Quilograma,
02076000,2016-01-01 00:00:00,,KG,Quilograma,
02081000,2016-01-01 00:00:00,,KG,Quilograma,
02083000,2016-01-01 00:00:00,,KG,Quilograma,
02084000,2016-01-01 00:00:00,,KG,Quilograma,
02085000,2016-01-01 00:00:00,,KG,Quilograma,
02086000,2016-01-01 00:00:00,,KG,Quilograma,
02089000,2016-01-01 00:00:00,,KG,Quilograma,
02091011,2016-01-01 00:00:00,,KG,Quilograma,
02091019,2016-01-01 00:00:00,,KG,Quilograma,
02091021,2016-01-01 00:00:00,,KG,Quilograma,
02091029,2016-01-01 00:00:00,,KG,Quilograma,
02099000,2016-01-01 00:00:00,,KG,Quilograma,
02101100,2016-01-01 00:00:00,,KG,Quilograma,
02101200,2016-01-01 00:00:00,,KG,Quilograma,
02101900,2016-01-01 00:00:00,,KG,Quilograma,
02102000,2016-01-01 00:00:00,,KG,Quilograma,
02109100,2016-01-01 00:00:00,,KG,Quilograma,
02109200,2016-01-01 00:00:00,,KG,Quilograma,
02109300,2016-01-01 00:00:00,,KG,Quilograma,
02109911,2018-07-01 00:00:00,,KG,Quilograma,
02109919,2018-07-01 00:00:00,,KG,Quilograma,
02109920,2018-07-01 00:00:00,,KG,Quilograma,
02109930,2018-07-01 00:00:00,,KG,Quilograma,
02109940,2018-07-01 00:00:00,,KG,Quilograma,
02109990,2018-07-01 00:00:00,,KG,Quilograma,
03011110,2016-01-01 00:00:00,,UN,Unidade,
03011190,2016-01-01 00:00:00,,UN,Unidade,
03011900,2016-01-01 00:00:00,,UN,Unidade,
03019110,2016-01-01 00:00:00,,KG,Quilograma,
03019190,2016-01-01 00:00:00,,KG,Quilograma,
03019210,2016-01-01 00:00:00,,KG,Quilograma,
03019290,2016-01-01 00:00:00,,KG,Quilograma,
03019310,2016-01-01 00:00:00,,KG,Quilograma,
03019390,2016-01-01 00:00:00,,KG,Quilograma,
03019410,2016-01-01 00:00:00,,KG,Quilograma,
03019490,2016-01-01 00:00:00,,KG,Quilograma,
03019510,2016-01-01 00:00:00,,KG,Quilograma,
03019590,2016-01-01 00:00:00,,KG,Quilograma,
03019911,2016-01-01 00:00:00,,KG,Quilograma,
03019912,2016-01-01 00:00:00,,KG,Quilograma,
03019919,2016-01-01 00:00:00,,KG,Quilograma,
03019991,2016-01-01 00:00:00,,KG,Quilograma,
03019992,2016-01-01 00:00:00,,KG,Quilograma,
03019999,2016-01-01 00:00:00,,KG,Quilograma,
03021100,2016-01-01 00:00:00,,KG,Quilograma,
03021300,2016-01-01 00:00:00,,KG,Quilograma,
03021400,2016-01-01 00:00:00,,KG,Quilograma,
03021900,2016-01-01 00:00:00,,KG,Quilograma,
03022100,2016-01-01 00:00:00,,KG,Quilograma,
03022200,2016-01-01 00:00:00,,KG,Quilograma,
03022300,2016-01-01 00:00:00,,KG,Quilograma,
03022400,2016-01-01 00:00:00,,KG,Quilograma,
03022900,2016-01-01 00:00:00,,KG,Quilograma,
03023100,2016-01-01 00:00:00,,KG,Quilograma,
03023200,2016-01-01 00:00:00,,KG,Quilograma,
