Códigos para o campo detOper,
Código,Descrição do Código
01,Promessa / compromisso de compra e venda
02,Compra e venda definitiva
03,Promessa / compromisso de dação em Pagamento
04,Dação em pagamento definitiva
05,Consolidação da propriedade pelo credor da garantia (art. 200 da LC 214/2025)
06,"Consolidação da propriedade pelo grupo de consórcios (art. 204, parag. 3° da LC 214/2025)"
07,Alienação pelo credor da garantia
08,Alienação pelo grupo de consórcios
09,Realização ou integralização de capital
10,Incorporação societária
11,Fusão
12,Cisão total ou parcial
13,Extinção de pessoa jurídica (baixa pelo encerramento da liquidação)
14,Desincoporação de bem imóvel pertencente à pessoa jurídica em virtude de redução de capital
15,Doação sem contraprestação em benefício do doador
16,Doação com contraprestação em benefício do doador
17,Cessão onerosa de direitos relativos a promessa ou compromisso de compra e venda
18,Cessão onerosa de direitos sucessórios ou hereditários
19,Cessão onerosa de direitos sobre o imóvel com alienação fiduciária
20,Cessão de direitos do arrematante
21,Cessão de direitos do adjudicatário
22,Constituição de enfiteuse ou aforamento de imóveis dominiais da União
23,Transmissão onerosa da enfiteuse ou do domínio útil
24,Concessão onerosa do direito de superfície
25,Cessão onerosa do direito de superfície
26,Instituição onerosa do uso / usufruto
27,Transmissão ou cessão onerosa do uso / usufruto
28,Concessão onerosa do uso especial para fins de moradia
29,Transmissão ou cessão onerosa do uso especial para fins de moradia
30,Concessão onerosa do direto real de uso
31,Transmissão ou cessão onerosa do direto real de uso
32,Concessão onerosa do direito de laje
33,Cessão onerosa do direito de laje
34,Cessão onerosa de direitos oriundos da imissão provisória na posse
