Tabela de País usada na NF-e – NT 2018.003,,,,
cPais,Nome País,SITUAÇÃO,Data Início,Data Fim
132,AFEGANISTAO,,01/01/2006,
153,"ALAND, ILHAS",INCLUÍDO,01/01/2017,
175,"ALBANIA, REPUBLICA  DA",,01/01/2006,
200,CURACAO,ALTERADO,07/12/2015,31/05/2018
230,ALEMANHA,,01/01/2006,
310,BURKINA FASO,,01/01/2006,
370,ANDORRA,,01/01/2006,
400,ANGOLA,,01/01/2006,
418,ANGUILLA,,01/01/2006,
420,ANTARTICA,INCLUÍDO,01/01/2017,
434,ANTIGUA E BARBUDA,,01/01/2006,
477,ANTILHAS HOLANDESAS,EXCLUÍDO,01/01/2006,31/05/2018
531,ARABIA SAUDITA,,01/01/2006,
590,ARGELIA,,01/01/2006,
639,ARGENTINA,,01/01/2006,
647,"ARMENIA, REPUBLICA DA",,01/01/2006,
655,ARUBA,,01/01/2006,
698,AUSTRALIA,,01/01/2006,
728,AUSTRIA,,01/01/2006,
736,"AZERBAIJAO, REPUBLICA DO",,01/01/2006,
779,"BAHAMAS, ILHAS",,01/01/2006,
809,"BAHREIN, ILHAS",,01/01/2006,
817,BANGLADESH,,01/01/2006,
833,BARBADOS,,01/01/2006,
850,"BELARUS, REPUBLICA DA",,01/01/2006,
876,BELGICA,,01/01/2006,
884,BELIZE,,01/01/2006,
906,BERMUDAS,,01/01/2006,
930,MIANMAR (BIRMANIA),,01/01/2006,
973,"BOLIVIA, ESTADO PLURINACIONAL DA",,01/01/2006,
981,BOSNIA-HERZEGOVINA (REPUBLICA DA),,01/01/2006,
990,BONAIRE,INCLUÍDO,01/01/2017,
1015,BOTSUANA,,01/01/2006,
1023,"BOUVET, ILHA",INCLUÍDO,01/01/2017,
1058,BRASIL,,01/01/2006,
1082,BRUNEI,,01/01/2006,
1112,"BULGARIA, REPUBLICA DA",,01/01/2006,
1155,BURUNDI,,01/01/2006,
1198,BUTAO,,01/01/2006,
1279,"CABO VERDE, REPUBLICA DE",,01/01/2006,
1376,"CAYMAN, ILHAS",,01/01/2006,
1414,CAMBOJA,,01/01/2006,
1457,CAMAROES,,01/01/2006,
1490,CANADA,,01/01/2006,
1504,"GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)",ALTERADO,01/01/2006,31/05/2018
1508,"JERSEY, ILHA DO CANAL",ALTERADO,01/01/2006,31/05/2018
1511,"CANARIAS, ILHAS",EXCLUÍDO,01/01/2006,31/05/2018
1538,"CAZAQUISTAO, REPUBLICA DO",,01/01/2006,
1546,CATAR,,01/01/2006,
1589,CHILE,,01/01/2006,
1600,"CHINA, REPUBLICA POPULAR",,01/01/2006,
1619,FORMOSA (TAIWAN),,01/01/2006,
1635,CHIPRE,,01/01/2006,
1651,"COCOS(KEELING),ILHAS",,01/01/2006,
1694,COLOMBIA,,01/01/2006,
1732,"COMORES, ILHAS",,01/01/2006,
1775,CONGO,,01/01/2006,
1830,"COOK, ILHAS",,01/01/2006,
1872,"COREIA (DO NORTE), REP.POP.DEMOCRATICA",,01/01/2006,
1902,"COREIA (DO SUL), REPUBLICA DA",,01/01/2006,
1937,COSTA DO MARFIM,,01/01/2006,
1953,CROACIA (REPUBLICA DA),,01/01/2006,
1961,COSTA RICA,,01/01/2006,
1988,COVEITE,APENAS ALTERAÇÃO DE NOME,01/01/2006,
1988,KUWAIT,APENAS ALTERAÇÃO DE NOME,01/01/2006,
1996,CUBA,,01/01/2006,
