TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cbenef,Aplica ao Simples Nacional,"CST 00 
(Tributada integralmente)","CST 10 
(Tributada e com cobrança do ICMS por substituição tributária)","CST 20 
(Com redução de base de cálculo)","CST 30 
(Isenta ou não tributada e com cobrança do ICMS por substituição tributária)","CST 40 
(Isenta)","CST 41 
(Não tributada)","CST 50 
(Suspensão)","CST 51 
(Diferimento)","CST 60 
(ICMS cobrado anteriormente por substituição tributária)","CST 70 
(Com redução de base de cálculo e cobrança do ICMS por substituição tributária)","CST 90 
(Outras)",DATA INÍCIO,DT FINAL,DESCRIÇÃO: SETORES/PROGRAMAS/BENEFICIÁRIOS,CAPITULAÇÃO LEGAL,OBSERVAÇÃO,,,,,,,,,,,,,,,
-,SIM,SIM,SIM,,,,,SIM,SIM,SIM,,SIM,,,Sem preenchimento do cBenef.,Sem preenchimento do cBenef,,,,,,,,,,,,,,,,
SEM CBENEF,SIM,,,SIM,SIM,SIM,SIM,,,,SIM,,,,Item sem cBenef e UF exige cBenef para o CST.,,,,,,,,,,,,,,,,,
ES100001,SIM,,,,SIM,SIM,,,,,,,2018-03-01 00:00:00,2032-12-31 00:00:00,"Operações de energia elétrica na quantidade correspondente à soma de energia elétrica injetada na rede com créditos de energia ativa, oriundos de micro e minigeração distribuída de energia fotovoltaica aderentes ao Sistema de Compensação de Energia Elétrica, conforme disposições do art. 5º-D da Lei 7.000/2001.","Art. 5º-D da Lei 7.000/01
Convênio ICMS 190/17
Lei nº 11.253/2021",Isenção do ICMS,,,,,,,,,,,,,,,
ES120001,SIM,,,,SIM,SIM,,,,,,,2016-07-01 00:00:00,2032-12-31 00:00:00,Operações sob amparo do Programa de Incentivo ao Investimento no Estado do Espírito Santo - INVEST-ES.,Lei 10.550/2016,Isenção do ICMS,,,,,,,,,,,,,,,
ES130001,SIM,,,,SIM,SIM,,,,,,,2021-12-16 00:00:00,2026-04-30 00:00:00,Operações realizadas no âmbito do REPETRO.,"Art. 5º-C, II da Lei 7.000/01
Art. 5º, CXXXVIII e CXXXIX do RICMS/ES
Convênio ICMS 03/18
Convênio ICMS 130/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100002,SIM,,,,SIM,SIM,,,,,,,2018-12-03 00:00:00,,"Operações internas, interestaduais e de importação com medicamentos destinados ao tratamento da AME.","Art. 5º, § 7º da Lei 7.000/01
Art. 5º, CLXXXVI do RICMS/ES
Convênio ICMS 57/17
Convênio ICMS 84/18",Isenção do ICMS,,,,,,,,,,,,,,,
ES100003,SIM,,,,SIM,SIM,,,,,,,2019-10-07 00:00:00,,"Compra de veículo novo habitualmente destinado ao transporte privado de passageiros, intermediado por aplicativos via internet.","Art. 5º, § 9º da Lei 7.000/01
Anexo III, item 4 da Lei 7.000/01
Convênio ICMS 28/19",Isenção do ICMS,,,,,,,,,,,,,,,
ES100004,SIM,,,,SIM,SIM,,,,,,,2020-01-28 00:00:00,,Aquisições de máquinas e equipamentos por contribuintes estabelecidos nos Municípios abrangidos por estado de emergência ou de calamidade pública motivados pela chuva.,"Art. 5º, § 11 da Lei 7.000/01
",Isenção do ICMS,,,,,,,,,,,,,,,
ES100005,SIM,,,,SIM,SIM,,,,,,,2021-11-29 00:00:00,,"Operações de saídas internas de arroz, com destino a consumidor final.","Art. 5º-E da Lei 7.000/01
Art. 5º, CLXXXIV do RICMS/ES",Isenção do ICMS,,,,,,,,,,,,,,,
ES100006,SIM,,,,SIM,SIM,,,,,,,2021-11-29 00:00:00,,"Operações de saídas internas de feijão, com destino a consumidor final.","Art. 5º-F da Lei 7.000/01
Art. 5º, CLXXXV do RICMS/ES",Isenção do ICMS,,,,,,,,,,,,,,,
ES100007,SIM,,,,SIM,SIM,,,,,,,2022-05-25 00:00:00,2032-12-31 00:00:00,Saída interna de pedra britada.,Art. 5º-G da Lei 7.000/01,Isenção do ICMS,,,,,,,,,,,,,,,
ES100008,SIM,,,,SIM,SIM,,,,,,,2022-07-18 00:00:00,2032-12-31 00:00:00,"Operações internas de saída de lajes pré-moldadas, tijolos cerâmicos, blocos de concreto, telhas cerâmicas, tijoleiras de cerâmica, etc. ",Art. 5º-H da Lei 7.000/01,Isenção do ICMS,,,,,,,,,,,,,,,
